0,0,0,0,0,0,15,93,195,244,248,246,242,238,240,244,247,239,195,88,30,24,40,49
1,1,0,0,1,1,15,90,191,242,247,246,241,236,239,244,248,240,195,90,30,24,40,48
1,1,1,0,1,1,13,83,182,236,239,240,240,237,239,244,247,239,197,93,33,25,39,46
1,1,1,3,7,13,28,91,178,229,226,223,223,224,230,239,245,239,200,99,36,26,39,45
2,4,11,23,39,61,85,134,193,227,215,199,188,186,196,216,232,236,203,107,39,27,42,50
5,17,54,101,138,166,189,211,229,236,226,206,182,158,140,144,176,210,202,114,43,34,58,73
14,49,120,185,214,225,234,238,239,239,237,230,218,198,164,115,109,151,187,119,47,45,84,110
20,73,160,229,243,243,242,239,237,238,240,241,240,231,204,125,76,108,171,124,49,44,82,107
21,78,169,234,243,242,240,236,233,234,238,238,236,234,221,144,76,95,165,129,50,31,52,66
19,76,166,233,242,241,239,234,228,229,234,233,229,227,218,145,77,93,165,135,50,17,23,25
19,74,164,231,239,233,229,226,225,227,230,225,218,217,213,143,75,92,165,138,50,12,12,12
19,71,161,230,238,227,220,218,219,221,223,217,213,214,212,145,76,92,166,140,50,9,9,9
19,70,159,229,239,230,220,217,217,216,218,219,218,218,212,147,78,91,166,142,51,8,7,9
20,68,157,228,242,237,226,220,218,214,218,226,229,226,216,149,76,87,161,141,50,6,5,8
22,68,155,227,241,238,227,220,219,215,218,229,236,235,222,152,74,77,145,127,45,6,5,6
20,67,155,227,240,240,231,222,218,215,220,232,240,241,230,158,71,49,90,80,31,9,10,12
20,65,152,223,239,243,238,231,226,223,226,233,240,243,233,162,69,26,40,37,20,14,15,15
57,85,141,191,205,215,225,230,230,228,229,231,237,243,234,164,70,16,17,18,17,16,16,16
140,140,145,150,148,156,175,197,213,220,227,230,235,241,234,167,72,17,19,20,17,13,12,13
222,215,201,176,143,114,103,119,156,196,226,235,237,238,233,170,74,15,15,16,12,9,8,9
240,238,233,222,203,173,120,75,74,132,204,229,228,224,223,168,73,12,8,8,6,5,5,6
240,241,242,240,233,218,156,74,34,90,187,221,215,207,210,158,68,8,5,8,10,11,11,10
236,238,240,236,227,225,175,87,28,72,173,213,205,191,197,144,60,7,5,10,14,15,14,12
231,236,239,232,217,215,173,89,28,65,161,207,200,180,188,135,55,6,5,9,11,11,10,7
